Name ;Facebook/twitter;Wiki;Forum;Blog;Github_text;Live chat;Discussion ;Wevolver;Thingiverse;O-O-M
OpenLedModule;https://www.facebook.com/OpenLedModule/;https://github.com/FLMRobert/OpenLedModule/wiki/Assembly-Instructions-Overview;0;http://blog.meisenecker.de/blog/;https://github.com/FLMRobert/OpenLedModule/blob/master/CONTRIBUTING.md;0;0;0;0;8
KORUZA;https://twitter.com/institute_irnas;0;0;0;https://github.com/IRNAS;0;0;0;0;8
DropBot;0;http://microfluidics.utoronto.ca/trac/dropbot/wiki;;http://microfluidics.utoronto.ca/dropbot/blog/;0;0;0;0;0;8
Pupil Labs;https://twitter.com/pupil_labs;0;0;https://pupil-labs.com/blog/;https://github.com/pupil-labs/pupil/issues;https://discordapp.com/invite/gKmmGqy;0;0;0;8
Handipot;https://twitter.com/handibottool     https://www.facebook.com/HandibotTool;0;https://handibot.com/forum/;https://handibot.com/blog/;0;0;0;0;0;8
ArduPilot;https://www.facebook.com/groups/ArduPilot.org;http://ardupilot.org/ardupilot;https://discuss.ardupilot.org;https://discuss.ardupilot.org/c/blog;https://github.com/ArduPilot/ardupilot_wiki/tree/master/common/source/docs;https://gitter.im/ArduPilot/ardupilot;0;0;0;8
Thymio;https://www.facebook.com/ThymioII   https://twitter.com/ThymioII;https://www.wikidot.com/default--flow/login__CreateAccountScreen?originSiteId=269535;https://www.thymio.org/forum:start;0;0;0;0;0;0;8
Arblet;https://twitter.com/arbalet_project;https://github.com/arbalet-project/arbadoc/wiki;0;0;https://github.com/arbalet-project/arbadoc/issues;0;0;0;0;8
Akerwormhouse;https://twitter.com/akerkits  https://www.facebook.com/akerkits;0;0;0;0;0;0;0;0;8
Carla Cargo;https://twitter.com/carlacargo;http://www.werkstatt-lastenrad.de/index.php?title=Bauanleitung_Carla_Cargo_Crowd;0;0;0;0;0;0;0;8
OpenRov;https://twitter.com/OpenROV   https://www.facebook.com/OpenROV;0;https://forum.openrov.com;https://blog.openrov.com;https://github.com/OpenROV/openrov-software/issues;https://discordapp.com/invite/749Snv?utm_source=Discord%20Widget&utm_medium=Connect;0;0;0;8
Aeroquad;https://www.facebook.com/AeroQuad-160268384056760/;https://code.google.com/archive/p/aeroquad/;0;0;https://github.com/AeroQuad/AeroQuad;0;0;0;0;8
CountClock;https://twitter.com/CountClockCC   https://www.facebook.com/Openproducts-570422363031383;0;https://www.instructables.com/topics/;0;0;0;0;0;0;7
GoodenoughCNC;https://twitter.com/institute_irnas;0;0;0;https://github.com/IRNAS/pira-smart-software/issues;0;0;0;0;7
Logresse;0;https://www.logre.eu/wiki/Logresse;0;0;0;0;0;0;0;7
Meggy Jr RGB;https://twitter.com/EMSL  https://www.facebook.com/EvilMadScientistLaboratories/;0;https://www.evilmadscientist.com/forums/;https://www.evilmadscientist.com;https://github.com/evil-mad/MeggyJrRGB;0;0;0;0;7
